"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1477",612434,"Miguel Castro","2733","54.0","0.267","0.180","0.257","0.446","0.353","0.377","0.284","92","345","84.8","13.3","2260","95.4","95.04","113","709","761","-0.4","6.25","108","152","115","145","295","319","295"
"1459",518715,"Cory Gearrin","2749","53.1","0.283","0.140","0.313","0.423","0.353","0.356","0.277","99","350","85.5","10.9","2277","91.8","90.95","91","615","829","-0.8","5.87","110","148","111","146","292","312","294"
"1456",572021,"James Pazos","1789","81.4","0.270","0.157","0.313","0.427","0.337","0.315","0.243","93","344","81.8","16.7","2018","94.7","94.57","163","772","675","-0.1","6.27","108","152","109","147","290","316","291"
"1423",518553,"Steve Cishek","2962","48.0","0.235","0.166","0.258","0.401","0.314","0.322","0.242","78","332","82.7","11.8","2326","90.9","92.62","118","623","785","1.7","7.43","111","151","111","147","297","320","295"
"1421",489334,"Craig Stammen","2452","58.0","0.233","0.101","0.286","0.333","0.267","0.273","0.229","81","348","83.4","5.4","2078","91.4","91.99","132","652","759","0.6","6.62","110","150","113","147","296","316","299"
"1381",519008,"T.J. McFarland","2279","60.6","0.269","0.098","0.296","0.367","0.301","0.309","0.268","104","387","85.2","-3.9","2013","91.0","89.58","106","666","708","-1.4","5.49","108","151","113","149","301","325","300"
"1346",500779,"Jose Quintana","9369","14.4","0.257","0.174","0.309","0.430","0.340","0.342","0.256","96","374","83.2","14.9","1998","91.8","92.49","80","631","706","0.7","6.60","112","151","110","148","297","316","294"
"1303",664192,"Joey Lucchesi","2158","60.4","0.266","0.206","0.291","0.472","0.344","0.345","0.269","80","301","84.2","13.0","2235","90.4","90.65","89","554","739","0.2","6.48","111","150","113","148","299","318","300"
"1275",547888,"Masahiro Tanaka","8143","15.7","0.307","0.222","0.312","0.528","0.374","0.387","0.319","108","352","85.2","8.4","2035","91.1","90.35","73","605","658","-0.7","5.86","107","151","111","145","294","321","287"
"1212",458006,"Matt Albers","2530","47.9","0.278","0.193","0.308","0.471","0.346","0.336","0.258","85","306","83.6","6.5","2035","92.4","92.58","95","585","619","0.2","6.49","107","150","109","146","298","314","288"
