"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1496",543022,"Tyler Chatwood","6960","21.5","0.191","0.108","0.245","0.299","0.241","0.266","0.214","69","361","81.6","6.9","2611","88.4","87.69","222","704","779","-0.7","5.70","109","151","113","146","303","322","300"
"1437",501789,"Will Harris","2602","55.2","0.259","0.119","0.299","0.378","0.307","0.310","0.255","87","336","82.3","9.8","2487","92.3","92.50","159","672","757","0.2","6.36","109","150","113","150","284","314","286"
"1418",430935,"Cole Hamels","8626","16.4","0.219","0.164","0.257","0.383","0.303","0.339","0.254","71","324","81.9","13.5","2012","88.3","88.51","167","727","673","0.2","6.32","106","149","110","146","300","324","295"
"1319",518516,"Madison Bumgarner","7290","18.1","0.208","0.145","0.253","0.353","0.271","0.314","0.247","70","337","82.4","15.1","2158","86.1","85.98","167","714","594","-0.1","6.15","107","148","110","145","297","318","296"
"1307",643327,"Zack Godley","6594","19.8","0.300","0.182","0.335","0.481","0.381","0.349","0.254","89","297","80.4","14.3","2219","89.4","88.75","154","632","653","-0.6","5.74","109","152","112","149","302","325","301"
"1256",453343,"Mark Melancon","2181","57.6","0.264","0.106","0.305","0.370","0.300","0.307","0.264","85","322","80.7","10.4","2436","91.3","91.19","112","602","644","-0.1","6.24","111","150","109","148","296","313","291"
"1221",545333,"Trevor Bauer","9093","13.4","0.264","0.178","0.295","0.442","0.324","0.310","0.250","64","242","80.3","18.5","2535","87.9","87.69","195","582","634","-0.2","5.87","106","150","110","147","290","313","289"
"1153",453281,"Wade LeBlanc","4461","25.8","0.225","0.193","0.250","0.418","0.302","0.322","0.246","63","280","81.8","22.3","2021","84.1","84.05","104","536","613","0.0","6.21","108","153","113","148","296","319","293"
"1147",543521,"Collin McHugh","5443","21.1","0.278","0.174","0.298","0.451","0.340","0.303","0.244","80","288","81.8","17.8","2524","87.1","87.23","101","598","545","0.1","6.33","106","149","114","148","282","315","286"
"1118",608379,"Michael Wacha","6433","17.4","0.265","0.196","0.275","0.460","0.337","0.346","0.282","77","291","81.8","11.3","2141","90.4","91.37","90","544","566","1.0","6.74","110","148","110","146","295","315","296"
"1088",502004,"George Kontos","2269","48.0","0.220","0.128","0.260","0.348","0.278","0.282","0.224","62","282","81.3","13.8","2398","87.3","86.54","183","586","495","-0.8","5.75","110","148","110","146","292","313","296"
"1078",444857,"Scott Feldman","3225","33.4","0.343","0.165","0.396","0.508","0.391","0.346","0.291","85","248","80.2","12.3","2251","88.5","88.29","97","499","570","-0.2","6.13","112","149","111","148","289","308","283"
"1020",572971,"Dallas Keuchel","8175","12.5","0.285","0.217","0.308","0.502","0.355","0.318","0.265","59","207","81.3","11.9","2148","86.3","85.87","118","540","478","-0.4","5.96","103","151","115","149","292","315","282"
"997",462136,"Marco Estrada","8589","11.6","0.291","0.222","0.300","0.512","0.372","0.365","0.275","59","203","83.5","25.6","2453","87.1","85.28","77","434","557","-1.8","5.29","110","153","113","148","294","320","295"
"986",572193,"Ryan Tepera","2603","37.9","0.182","0.134","0.283","0.316","0.244","0.240","0.183","45","247","81.4","17.1","2476","88.9","88.59","217","516","464","-0.3","6.06","110","151","114","146","297","322","293"
"979",606930,"Jacob Barnes","2473","39.6","0.214","0.107","0.301","0.321","0.264","0.256","0.206","48","224","80.7","4.3","2347","90.5","90.99","213","492","486","0.5","6.54","110","153","116","149","300","315","292"
"970",489119,"Wade Miley","7079","13.7","0.215","0.135","0.234","0.350","0.282","0.306","0.246","51","237","81.8","5.9","2300","87.9","87.06","98","475","489","-0.8","5.71","105","152","112","145","301","318","292"
"950",501817,"Tony Barnette","2361","40.2","0.271","0.133","0.309","0.404","0.308","0.310","0.262","59","218","81.0","16.8","2530","88.8","89.40","103","466","479","0.6","6.40","106","148","110","146","297","324","294"
"948",572020,"James Paxton","6821","13.9","0.169","0.089","0.296","0.258","0.194","0.188","0.164","51","302","84.2","11.1","2092","89.4","89.06","206","549","397","-0.3","6.20","106","150","111","145","292","314","287"
"930",573186,"Marcus Stroman","7949","11.7","0.210","0.138","0.238","0.348","0.267","0.292","0.234","47","224","81.6","5.0","2497","90.0","89.17","123","467","456","-0.8","5.65","108","151","112","147","292","317","296"
"903",435221,"Brandon McCarthy","3363","26.9","0.258","0.116","0.293","0.374","0.321","0.335","0.261","51","198","80.8","23.4","2252","91.4","90.90","82","446","448","-0.5","5.81","110","151","110","147","298","323","299"
"901",543734,"Chris Rusin","3339","27.0","0.281","0.149","0.361","0.430","0.322","0.262","0.218","66","235","81.2","8.6","2392","87.4","85.91","127","456","443","-1.5","5.16","109","150","112","145","300","320","300"
"876",543883,"Nick Vincent","2709","32.3","0.278","0.145","0.308","0.423","0.312","0.293","0.240","65","234","78.9","20.1","2463","87.4","86.71","87","477","391","-0.7","5.74","108","151","110","147","291","319","293"
"872",502032,"Bud Norris","4078","21.4","0.207","0.087","0.260","0.293","0.249","0.268","0.218","43","208","81.0","9.1","2542","89.7","89.27","160","453","414","-0.4","5.91","111","149","109","148","301","321","299"
"870",451584,"Wade Davis","2889","30.1","0.179","0.128","0.238","0.308","0.246","0.256","0.201","35","195","81.9","12.7","2634","90.7","90.42","152","431","439","-0.3","5.96","115","151","110","146","296","319","301"
"865",605200,"Zach Davies","6802","12.7","0.252","0.176","0.269","0.428","0.317","0.343","0.274","56","222","83.5","12.8","2286","86.5","86.33","64","386","474","-0.2","6.08","109","154","114","151","302","313","291"
"861",445926,"Jesse Chavez","4914","17.5","0.166","0.068","0.233","0.234","0.199","0.239","0.184","34","205","81.3","27.0","2378","91.2","90.88","120","459","398","-0.3","5.95","108","151","112","148","299","320","296"
"853",502188,"Jeff Samardzija","7268","11.7","0.226","0.176","0.276","0.403","0.283","0.285","0.230","50","221","81.6","23.5","2508","92.4","92.17","100","432","412","-0.2","6.05","113","149","110","148","286","310","296"
"852",453329,"Clay Buchholz","3789","22.5","0.256","0.112","0.304","0.367","0.301","0.301","0.245","55","215","82.2","18.6","2365","87.7","87.69","126","483","365","0.0","6.22","107","150","114","147","289","322","293"
"814",448614,"Carlos Torres","2713","30.0","0.246","0.221","0.243","0.467","0.338","0.327","0.242","48","195","80.7","16.4","2358","91.2","91.11","107","470","338","-0.1","6.04","108","151","113","148","300","312","289"
"807",450729,"Doug Fister","5647","14.3","0.235","0.155","0.259","0.390","0.291","0.297","0.248","47","200","80.3","8.0","2109","84.1","84.19","70","346","455","0.1","6.24","108","149","114","147","286","319","287"
"795",608665,"Kendall Graveman","5139","15.5","0.273","0.200","0.319","0.473","0.352","0.373","0.288","56","205","83.3","10.9","2447","89.0","89.09","98","376","411","0.1","6.32","109","150","113","148","294","318","299"
"773",488984,"Tommy Hunter","2313","33.4","0.224","0.137","0.260","0.361","0.276","0.291","0.246","41","183","79.3","15.1","2464","93.5","93.52","110","438","330","0.0","6.24","113","155","112","148","294","323","298"
